name,address,url,dates,opening_hours
Weihnachtsmarkt Evangelisches Johannesstift Berlin,Schönwalder Allee 26 13587 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/weihnachtsmarkt-evangelisches-johannesstift-berlin-1585.html,03.12.2023 - 03.12.2023,"[('SO', '12:00 - 18:00 Uhr')]"
Weihnachtsmarkt vor dem Schloss Charlottenburg,zw. Luisen- & Klausenerplatz Spandauer Damm 14059 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/weihnachtsmarkt-vor-dem-schloss-charlottenburg-1627.html,27.11.2023 - 31.12.2023,"[('MO', '12:00 - 22:00 Uhr'), ('DI', '12:00 - 22:00 Uhr'), ('MI', '12:00 - 22:00 Uhr'), ('DO', '12:00 - 22:00 Uhr'), ('FR', '12:00 - 22:00 Uhr'), ('SA', '12:00 - 22:00 Uhr'), ('SO', '12:00 - 22:00 Uhr')]"
Weihnachtszeit Rotes Rathaus Berlin,St. Marienkirche & Rotes Rathaus Karl-Liebknecht-Str. 10178 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/weihnachtszeit-rotes-rathaus-berlin-352.html,27.11.2023 - 07.01.2024,"[('MO', '12:00 - 22:00 Uhr'), ('DI', '12:00 - 22:00 Uhr'), ('MI', '12:00 - 22:00 Uhr'), ('DO', '12:00 - 22:00 Uhr'), ('FR', '12:00 - 22:00 Uhr'), ('SA', '11:00 - 22:00 Uhr'), ('SO', '11:00 - 22:00 Uhr')]"
Lichtenberger Lichtermarkt Berlin,Möllendorffstr. 6 10367 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/lichtenberger-lichtermarkt-berlin-378.html,03.12.2023 - 03.12.2023,"[('SO', '13:00 - 18:00 Uhr')]"
Advents-Ökomarkt Grüne Liga Berlin,Kollwitzplatz 10405 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/advents-oekomarkt-gruene-liga-berlin-379.html,03.12.2023 - 24.12.2023,"[('SO', '12:00 - 19:00 Uhr')]"
Lucia Weihnachtsmarkt Kulturbrauerei Berlin,KulturBrauerei Schönhauser Allee 36 10435 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/lucia-weihnachtsmarkt-kulturbrauerei-berlin-380.html,27.11.2023 - 22.12.2023,"[('MO', '15:00 - 22:00 Uhr'), ('DI', '15:00 - 22:00 Uhr'), ('MI', '15:00 - 22:00 Uhr'), ('DO', '15:00 - 22:00 Uhr'), ('FR', '15:00 - 22:00 Uhr'), ('SA', '13:00 - 22:00 Uhr'), ('SO', '13:00 - 22:00 Uhr')]"
Dänischer Adventsbasar Berlin,Christianskirche Brienner Str. 12 10713 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/daenischer-adventsbasar-berlin-381.html,25.11.2023 - 25.11.2023,"[('SA', '12:00 - 22:00 Uhr')]"
Schwedischer Weihnachtsbasar Berlin-Wilmersdorf,Schwedische Kirche Landhausstr. 26 - 28 10717 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/schwedischer-weihnachtsbasar-berlin-wilmersdorf-382.html,01.12.2023 - 03.12.2023,"[('FR', '16:00 - 20:00 Uhr'), ('SA', '12:00 - 19:00 Uhr'), ('SO', '12:00 - 18:00 Uhr')]"
Schöneberger Weihnachtsmarkt Berlin,Winterfeldtplatz 10781 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/schoeneberger-weihnachtsmarkt-berlin-383.html,,[]
Lichtenrader Lichtermarkt Berlin,Dorfteich an der alten Dorfkirche Alt-Lichtenrade 12309 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/lichtenrader-lichtermarkt-berlin-386.html,03.12.2023 - 03.12.2023,"[('SO', '13:00 - 19:00 Uhr')]"
